0670 sp0      0031
0672 rp0      1F00
0674 fence    1A8F
0676 dp       1A8F
0678 startup  714B
067A memsiz   8000
067C filename 1719
067E sa#      0000

0680 drv#     0001
0682 #voc     0001
0684 current  0000
0686 newdp    1A8E
0688 tdict    695C
068A tdp      7F00
068C symtab   5A00
068E symnew   66EF

0690 symtail  66EF
0692 vmbuf    55F9
0694 #vmpkt   0001
0696 blk      0000
0698 >in      0002
069A scr      0000
069C lin      0000
069E @lin     0000

06A0 #lin     0000
06A2 scrpkt   8000
06A4 editing  FFFF
06A6 newest   0000
06A8 redefined0000
06AA warning  errptr
06AC base     000A
06AE dpl      0000

06B0 hld      0000
06B2 span     0001
06B4 #line    0001
06B6 #out     0000
06B8 state    0000
06BA csp      0000
06BC vsource  _sourcetib
